ShipmentID,OrderID,CustomerID,Origin,Destination,Carrier,RouteID,PlannedShipDate,ActualShipDate,PlannedDeliveryDate,ActualDeliveryDate,Status,ShipmentType,Weight,Volume,Dimensions,DelayFlag,DisruptionReason,Weather,Traffic,PublicEvent,VehicleID,EngineHours,Mileage,FuelConsumption,GPS,Temperature,Vibration,MaintenanceDate,MaintenanceType,BreakdownFlag,PackageImage,ImageLabel,IncidentFlag,AnomalyFlag
1001,5001,C525,Atlanta,Phoenix,UPS,R11,2025-05-20,2025-05-20,2025-05-26,2025-05-27,Delivered,Express,337.2,6.1,42x20x25,0,,Rain,Low,Strike,V019,5570,90225,9.8,"55.0719,-132.8542;-66.4432,90.3484",21,0.07,2025-05-06,Battery Replacement,0,package_1001_before.jpg,OK,0,0
1002,5002,C805,Miami,Los Angeles,FedEx,R13,2025-05-11,2025-05-12,2025-05-18,2025-05-18,Delivered,Fragile,91.2,2.5,22x27x25,0,,Cloudy,High,Strike,V020,1098,53056,11.8,"-72.4671,-92.4337;-13.9777,-170.9333",26,0.05,2025-04-24,Oil Change,0,package_1002_before.jpg,OK,0,0
1003,5003,C926,San Diego,Los Angeles,FedEx,R18,2025-05-22,2025-05-23,2025-05-28,2025-05-28,Delivered,Fragile,67.9,3.3,20x34x14,0,,Clear,High,Holiday,V010,6082,110556,9.8,"-7.999,-87.9321;-4.5549,33.0992",17,0.1,2025-05-07,Filter Change,0,package_1003_before.jpg,Damaged,0,0
1004,5004,C486,Houston,Phoenix,DHL,R7,2025-05-21,2025-05-21,2025-05-27,2025-05-27,Delivered,Fragile,79.5,2.1,31x27x23,0,,Sunny,Low,None,V009,6799,125191,9.7,"6.7314,-133.5211;-14.1871,122.965",18,0.09,2025-05-01,Battery Replacement,0,package_1004_before.jpg,Damaged,0,0
1005,5005,C923,Boston,Denver,FedEx,R17,2025-05-17,2025-05-17,2025-05-23,2025-05-25,Delivered,Fragile,181.6,3.5,40x12x18,0,,Clear,High,Holiday,V021,2131,118626,5.7,"-18.5173,16.6943;72.8763,-124.9511",25,0.04,2025-04-26,Battery Replacement,0,package_1005_before.jpg,OK,0,0
1006,5006,C443,Philadelphia,Austin,UPS,R18,2025-05-18,2025-05-18,2025-05-21,2025-05-21,Delivered,Fragile,236.3,5.0,41x14x11,0,,Clear,Severe,None,V001,5015,97009,8.9,"-36.7615,-77.6004;-71.4577,-164.522",15,0.08,2025-05-17,Filter Change,0,package_1006_before.jpg,Damaged,0,0
1007,5007,C372,New York,Phoenix,FedEx,R5,2025-05-30,2025-05-30,2025-06-04,2025-06-04,Disrupted,Standard,182.2,3.7,48x15x17,1,Weather Delay,Cloudy,High,Holiday,V004,1776,126405,9.1,"26.1541,-138.4664;-33.9396,-2.5929",27,0.09,2025-05-09,Inspection,0,package_1007_before.jpg,Damaged,0,0
1008,5008,C641,Miami,San Francisco,DHL,R11,2025-05-18,2025-05-18,2025-05-25,2025-05-25,Delivered,Standard,189.7,2.5,49x19x25,0,,Rain,High,None,V015,6106,128399,11.9,"-47.2009,-124.6088;35.437,126.0083",21,0.06,2025-05-14,Filter Change,0,package_1008_before.jpg,OK,0,0
1009,5009,C217,Detroit,Miami,FedEx,R6,2025-05-31,2025-06-01,2025-06-03,2025-06-03,Delivered,Fragile,198.8,3.5,18x13x22,0,,Sunny,Moderate,None,V022,3871,53451,9.5,"-54.5553,-113.744;8.0987,63.6635",17,0.02,2025-05-22,Brake Check,0,package_1009_before.jpg,OK,0,0
1010,5010,C726,Atlanta,Denver,FedEx,R10,2025-05-29,2025-05-30,2025-05-31,2025-06-01,Delivered,Fragile,227.7,4.5,40x26x20,0,,Rain,Moderate,Strike,V022,1037,147697,10.0,"10.0637,100.5908;15.9721,108.1109",22,0.02,2025-05-08,Battery Replacement,0,package_1010_before.jpg,Damaged,0,0
1011,5011,C964,New York,Phoenix,UPS,R15,2025-05-20,2025-05-20,2025-05-23,2025-05-23,Disrupted,Express,273.0,5.6,36x15x10,1,Strike,Rain,Moderate,Strike,V026,7543,21080,10.4,"-48.3765,-155.2495;86.4925,-74.6203",29,0.01,2025-05-15,Inspection,0,package_1011_before.jpg,OK,0,0
1012,5012,C509,Miami,Denver,DHL,R10,2025-05-27,2025-05-28,2025-05-28,2025-05-28,Delivered,Express,348.5,5.1,38x32x24,0,,Rain,Severe,Holiday,V017,4533,41064,9.7,"-53.5741,-175.6191;-5.4204,51.6159",21,0.09,2025-05-10,Brake Check,0,package_1012_before.jpg,OK,0,0
