Origin,Destination,Carrier,ShipmentType,Weight,Volume,Dimensions,PlannedShipDate,ActualShipDate,PlannedDeliveryDate,ActualDeliveryDate,Status,DeliveryTimeDays
Dallas,Los Angeles,DHL,Standard,312.8,4.4,28x35x20,2025-05-19,2025-05-20,2025-05-23,2025-05-24,Delivered,4
Chicago,Austin,UPS,Fragile,196.5,3.1,39x39x23,2025-05-26,2025-05-26,2025-05-29,2025-05-31,Delivered,5
San Diego,Phoenix,FedEx,Standard,307.1,5.4,17x30x19,2025-05-18,2025-05-19,2025-05-25,2025-05-25,Disrupted,6
Houston,Miami,DHL,Fragile,193.7,2.8,21x21x13,2025-05-20,2025-05-20,2025-05-26,2025-05-26,Disrupted,6
Philadelphia,Las Vegas,UPS,Express,327.4,3.9,35x12x23,2025-05-28,2025-05-28,2025-05-31,2025-05-31,Delivered,3
San Diego,Phoenix,DHL,Standard,65.5,1.2,18x29x29,2025-05-09,2025-05-09,2025-05-15,2025-05-15,Delivered,6
San Diego,Phoenix,UPS,Fragile,303.9,6.0,18x29x25,2025-05-10,2025-05-11,2025-05-16,2025-05-17,Delayed,6
Miami,Houston,UPS,Fragile,130.6,4.2,39x34x27,2025-05-24,2025-05-24,2025-05-28,2025-05-29,Delivered,5
Philadelphia,Los Angeles,DHL,Fragile,163.7,2.7,24x37x15,2025-05-18,2025-05-18,2025-05-21,2025-05-21,Delivered,3
Detroit,Los Angeles,UPS,Fragile,207.9,4.1,47x39x22,2025-05-03,2025-05-03,2025-05-08,2025-05-09,Delivered,6
Houston,San Francisco,FedEx,Fragile,300.4,4.5,47x40x27,2025-05-30,2025-05-30,2025-05-31,2025-05-31,Delivered,1
Chicago,Phoenix,FedEx,Fragile,207.7,2.8,40x26x14,2025-05-31,2025-05-31,2025-06-03,2025-06-05,Delayed,5
Houston,Phoenix,UPS,Fragile,295.4,4.2,42x14x30,2025-05-15,2025-05-15,2025-05-22,2025-05-22,Delivered,7
Dallas,Denver,UPS,Express,187.2,2.4,24x17x12,2025-05-12,2025-05-12,2025-05-14,2025-05-16,Delayed,4
New York,Houston,FedEx,Fragile,285.8,4.2,17x27x30,2025-05-07,2025-05-07,2025-05-12,2025-05-13,Delivered,6
Houston,Orlando,DHL,Fragile,231.3,4.3,22x29x19,2025-05-17,2025-05-17,2025-05-24,2025-05-24,Delivered,7
Atlanta,Houston,DHL,Fragile,260.7,5.6,24x14x22,2025-05-16,2025-05-17,2025-05-17,2025-05-17,Delayed,0
Dallas,Miami,DHL,Standard,98.6,3.7,26x13x28,2025-05-13,2025-05-13,2025-05-18,2025-05-19,Delayed,6
Atlanta,Miami,FedEx,Fragile,121.2,3.9,44x28x26,2025-05-24,2025-05-24,2025-05-25,2025-05-26,Delivered,2
San Diego,Los Angeles,UPS,Express,246.3,5.2,47x11x24,2025-05-31,2025-05-31,2025-06-07,2025-06-07,Delivered,7
Boston,Orlando,UPS,Standard,186.9,2.7,50x11x17,2025-05-31,2025-06-01,2025-06-05,2025-06-05,Delivered,4
New York,Los Angeles,UPS,Express,207.1,4.4,21x37x20,2025-05-14,2025-05-14,2025-05-21,2025-05-21,Delivered,7
Chicago,Miami,UPS,Express,115.5,3.3,15x39x19,2025-05-07,2025-05-07,2025-05-12,2025-05-13,Delivered,6
Philadelphia,Houston,DHL,Fragile,123.5,3.4,23x19x17,2025-05-18,2025-05-18,2025-05-22,2025-05-22,Delivered,4
Miami,Denver,DHL,Fragile,110.0,1.9,41x21x17,2025-05-17,2025-05-17,2025-05-20,2025-05-20,Delayed,3
Atlanta,Denver,DHL,Standard,178.1,3.9,49x33x24,2025-05-29,2025-05-29,2025-05-30,2025-05-30,Disrupted,1
Philadelphia,San Francisco,DHL,Standard,215.4,3.4,32x23x28,2025-05-09,2025-05-09,2025-05-13,2025-05-13,Delivered,4
Atlanta,Austin,UPS,Fragile,249.3,3.2,31x24x19,2025-05-31,2025-05-31,2025-06-02,2025-06-02,Delayed,2
Philadelphia,San Francisco,DHL,Fragile,169.3,3.8,37x25x24,2025-05-22,2025-05-22,2025-05-29,2025-05-31,Delivered,9
Boston,Phoenix,DHL,Standard,265.7,3.2,45x15x17,2025-05-20,2025-05-20,2025-05-24,2025-05-24,Delayed,4
