Weight,Volume,Dimensions,AnomalyFlag
312.8,4.4,28x35x20,0
196.5,3.1,39x39x23,0
307.1,5.4,17x30x19,0
193.7,2.8,21x21x13,0
327.4,3.9,35x12x23,0
65.5,1.2,18x29x29,0
303.9,6.0,18x29x25,0
130.6,4.2,39x34x27,0
163.7,2.7,24x37x15,0
207.9,4.1,47x39x22,0
300.4,4.5,47x40x27,0
207.7,2.8,40x26x14,0
295.4,4.2,42x14x30,0
187.2,2.4,24x17x12,0
285.8,4.2,17x27x30,0
231.3,4.3,22x29x19,0
260.7,5.6,24x14x22,0
98.6,3.7,26x13x28,0
121.2,3.9,44x28x26,0
246.3,5.2,47x11x24,0
186.9,2.7,50x11x17,0
207.1,4.4,21x37x20,0
115.5,3.3,15x39x19,1
123.5,3.4,23x19x17,0
110.0,1.9,41x21x17,0
178.1,3.9,49x33x24,0
215.4,3.4,32x23x28,0
249.3,3.2,31x24x19,0
169.3,3.8,37x25x24,0
265.7,3.2,45x15x17,0
93.9,1.5,20x39x22,0
169.6,4.0,48x37x20,0
72.7,3.5,44x19x23,0
334.8,4.9,31x14x22,0
70.7,2.7,18x40x24,0
277.2,4.9,49x21x28,0
175.8,2.8,28x38x13,0
71.3,1.9,23x22x13,0
324.0,6.1,47x20x10,0
206.5,4.6,25x39x22,0
100.2,3.7,34x27x24,0
167.1,3.0,18x18x30,0
121.2,2.4,29x31x12,0
225.6,2.8,28x14x13,0
288.1,5.7,27x38x8,0
177.0,3.9,18x12x18,0
288.2,3.5,28x18x29,0
50.1,2.4,24x38x22,0
142.6,3.3,26x10x21,0
279.8,3.7,21x22x16,0
212.1,2.8,16x15x27,0
62.0,3.4,37x32x23,0
117.2,3.2,41x35x29,0
129.4,4.0,49x39x13,0
107.8,3.4,39x19x30,0
80.7,2.6,16x34x22,0
266.8,3.6,40x19x21,0
163.3,2.3,30x27x27,0
171.0,2.9,18x38x24,0
236.5,4.2,28x39x9,0
227.1,3.3,20x13x21,0
160.6,2.4,35x10x10,0
267.9,4.0,38x12x26,0
160.8,3.7,15x35x14,0
349.6,5.0,18x32x26,0
308.3,5.0,46x19x22,0
261.9,3.8,22x19x12,0
191.2,4.4,15x30x13,0
99.7,3.9,29x39x15,0
288.5,5.7,15x25x25,0
288.7,4.2,24x24x24,0
99.1,2.9,21x15x30,0
337.1,4.8,20x15x16,0
215.7,3.9,42x35x9,0
243.1,4.6,44x35x25,0
64.6,2.3,31x24x9,0
338.2,6.0,43x11x26,0
179.9,4.6,48x25x15,0
72.2,2.0,41x26x30,0
349.4,4.6,27x18x14,0
291.5,3.9,31x39x25,0
201.6,4.4,43x29x14,0
286.5,4.7,31x12x17,0
199.2,4.0,32x31x29,0
256.9,4.5,33x21x28,0
163.2,3.1,38x10x21,0
130.9,2.8,28x20x16,0
70.4,2.1,31x16x13,0
310.9,5.4,45x36x29,0
201.6,3.9,29x31x19,0
311.0,4.4,25x19x30,0
94.3,3.8,17x40x19,0
253.2,3.8,29x29x10,0
291.3,4.0,19x36x12,0
236.2,3.1,26x21x23,0
