EngineHours,Mileage,FuelConsumption,Temperature,Vibration,BreakdownFlag
1162,120400,7.7,24,0.08,0
1166,149705,5.1,16,0.05,0
5986,78839,6.4,29,0.04,0
1782,42652,9.2,29,0.1,0
7498,110014,11.5,23,0.04,0
2965,50856,5.1,29,0.03,0
2413,102653,6.0,20,0.06,0
7137,117775,11.8,26,0.07,0
6776,53635,9.0,20,0.03,0
6020,28405,8.2,18,0.04,0
7196,101231,6.4,19,0.03,0
6847,110483,9.0,26,0.01,0
1848,136105,11.9,16,0.07,0
5682,79049,11.1,20,0.06,0
7937,107603,9.2,30,0.05,0
5073,78612,5.6,17,0.03,0
5683,98973,7.0,17,0.01,0
5989,107341,7.5,24,0.09,0
5543,48770,8.1,16,0.02,0
4386,52147,11.0,29,0.08,0
7153,123035,5.6,18,0.09,0
3557,72290,8.7,25,0.06,0
7892,106717,7.2,27,0.02,0
2289,71576,7.2,29,0.02,0
2422,51373,6.7,15,0.06,0
4083,61861,9.0,20,0.06,0
2464,134049,8.4,16,0.06,0
5802,84409,9.9,26,0.04,0
3154,84932,9.1,17,0.06,0
4880,74351,7.2,28,0.02,0
2677,70317,8.8,27,0.01,0
6717,95465,10.6,25,0.07,0
1643,80486,11.3,26,0.07,0
3923,70787,7.7,30,0.09,0
2518,100642,6.8,20,0.08,0
5186,76941,6.5,26,0.03,0
1735,56065,9.7,20,0.02,0
5384,20036,9.1,28,0.09,0
6255,137652,9.5,30,0.06,0
2557,26066,11.1,22,0.1,0
5106,23620,11.6,30,0.09,0
4422,110394,8.9,28,0.05,0
7411,23163,11.5,25,0.07,0
2568,118164,11.8,30,0.07,0
1999,59258,11.9,18,0.04,0
6827,141189,7.3,16,0.03,0
2590,117971,6.0,24,0.07,0
1996,25565,11.3,22,0.03,0
3438,86889,5.1,16,0.1,0
6970,50638,8.2,22,0.04,0
5143,40807,6.0,30,0.06,0
5771,142609,9.8,24,0.08,0
1906,64389,6.5,16,0.03,0
4236,39684,10.4,20,0.07,0
7631,20583,11.8,24,0.02,0
2786,126618,8.5,18,0.06,0
5718,28624,5.4,18,0.1,0
1723,124023,11.6,26,0.07,0
1137,143465,11.6,29,0.04,0
4571,36075,5.4,17,0.07,0
5709,108441,10.9,17,0.07,0
6257,42549,5.7,24,0.03,0
3622,125589,7.6,22,0.06,0
1496,86653,9.6,21,0.05,0
3860,34558,10.1,27,0.1,0
2675,37516,5.4,26,0.04,0
4706,138458,11.6,16,0.04,0
4902,43690,5.3,26,0.02,0
3296,39198,6.5,28,0.1,0
3235,56676,4.6,26,0.08,0
6059,105359,10.5,18,0.08,0
4215,119857,9.6,17,0.07,0
3519,41961,6.2,30,0.04,0
1346,52951,7.5,16,0.07,0
2338,124650,8.3,25,0.08,0
5551,141290,8.3,26,0.07,0
2808,37889,10.3,27,0.02,0
5604,25068,8.6,20,0.04,0
6248,104954,5.4,30,0.08,0
3179,102092,5.2,15,0.1,0
4387,52224,7.7,27,0.02,0
5266,108583,6.7,27,0.1,0
2592,58383,10.6,16,0.05,0
3284,66093,4.9,25,0.08,0
3344,22090,7.9,26,0.07,0
5492,40463,11.6,22,0.03,0
4574,56861,5.2,27,0.01,0
1752,89854,7.2,29,0.05,0
7486,86624,10.2,19,0.05,0
1599,100630,8.0,16,0.04,0
5771,66422,10.7,21,0.06,0
1943,133885,5.0,18,0.06,0
3141,97908,5.6,17,0.04,0
5301,67975,5.8,25,0.1,0
2596,73167,7.0,23,0.05,0
1647,141179,9.0,19,0.05,0
5693,30178,8.7,16,0.04,0
5611,104487,6.5,21,0.04,0
4466,86766,7.5,19,0.06,0
4805,60108,10.9,24,0.04,0
2683,40087,9.8,30,0.07,0
3967,147237,4.7,15,0.03,0
1540,129902,7.3,23,0.06,0
6157,60994,5.3,15,0.04,0
5770,135085,11.5,22,0.06,0
4590,75016,10.9,27,0.07,0
2141,75716,6.7,21,0.06,0
6062,53091,9.2,17,0.04,0
6072,86089,5.7,21,0.07,0
5461,60911,8.6,29,0.03,0
3619,129766,7.0,27,0.07,0
5812,111419,7.3,20,0.09,0
4085,120874,8.2,15,0.02,0
5555,54712,11.9,18,0.01,0
2875,28464,6.4,23,0.04,0
3716,123131,11.8,25,0.03,0
4290,58977,9.7,22,0.05,0
1295,83942,10.5,28,0.04,0
6640,26656,11.5,19,0.01,0
3099,135902,6.6,29,0.05,0
4927,95025,10.5,26,0.07,0
2113,149803,6.3,28,0.02,0
7868,38187,8.0,20,0.08,0
2450,39931,10.8,30,0.02,0
1037,128745,10.0,26,0.05,0
6692,63248,5.9,23,0.08,0
4241,131564,6.9,19,0.05,0
2204,107708,8.0,24,0.08,0
2538,47208,9.1,17,0.04,0
6711,85833,10.7,30,0.04,0
4171,57700,7.9,25,0.09,0
3044,23522,6.5,25,0.03,0
2495,71852,5.8,23,0.01,0
6194,76173,7.0,16,0.06,0
3122,126862,10.2,21,0.08,0
7035,142068,11.9,18,0.04,0
5116,146577,10.5,15,0.01,0
3660,40262,7.0,27,0.09,0
3842,44716,6.1,17,0.09,0
6149,59764,4.8,29,0.09,0
4684,148472,4.8,26,0.02,0
5486,24732,7.7,19,0.04,0
1331,22022,5.6,20,0.03,0
6640,146918,9.1,30,0.06,0
5406,94968,4.9,24,0.03,0
4204,109186,5.1,16,0.01,0
6800,147144,10.8,18,0.02,0
1872,148140,9.1,17,0.03,0
5436,94142,7.8,26,0.09,0
1702,91295,11.3,17,0.04,0
2073,113812,8.5,29,0.06,0
2435,134686,11.9,15,0.08,0
1991,26480,8.6,16,0.1,1
6872,108310,8.5,29,0.05,0
3222,98214,9.1,18,0.02,0
6999,139883,9.3,28,0.04,0
4285,116383,10.6,27,0.04,0
3300,97419,7.5,17,0.05,0
3467,83016,10.5,19,0.04,0
5349,94430,11.7,26,0.03,0
2099,88918,9.2,25,0.08,0
6719,133151,9.0,24,0.08,0
5155,46930,8.7,30,0.08,0
2306,105442,8.3,26,0.08,0
4643,137352,8.4,25,0.03,0
2289,25691,4.7,21,0.07,0
1121,50003,6.3,18,0.03,0
6621,24394,6.8,23,0.08,0
6511,25614,8.6,18,0.03,0
4903,83498,9.0,27,0.1,0
5937,115145,11.3,15,0.07,0
2043,132531,6.8,20,0.02,0
4844,77307,11.0,27,0.06,0
2730,126326,9.6,28,0.01,0
6641,145362,11.5,21,0.07,0
4125,113277,6.0,17,0.06,0
3137,119935,8.0,17,0.02,0
7957,60716,11.4,29,0.07,0
2456,34606,8.5,29,0.02,0
2640,58186,8.7,22,0.08,0
1444,30294,5.9,25,0.1,0
5353,42073,6.6,30,0.09,1
7677,82574,7.2,25,0.08,0
2668,141324,6.4,24,0.09,0
7552,85804,9.3,27,0.09,0
2682,130814,8.3,23,0.03,0
3498,43837,11.8,16,0.02,0
6003,125084,6.8,18,0.04,0
6287,47110,8.9,23,0.06,0
1241,53401,8.7,19,0.02,0
5110,58923,6.1,25,0.05,0
3448,31280,7.5,15,0.02,0
1302,49922,11.7,15,0.05,0
5644,36935,7.3,15,0.02,1
3350,66233,11.4,26,0.01,0
1602,108080,9.0,25,0.03,0
5731,47746,11.3,21,0.03,0
2131,36056,5.7,20,0.04,0
4926,121621,7.1,15,0.04,0
5784,76216,5.0,16,0.1,0
6779,61570,11.8,28,0.07,0
6115,57357,10.8,27,0.01,0
3483,81765,5.7,26,0.06,0
6481,73267,9.3,17,0.06,0
5371,90441,7.8,29,0.03,0
6952,28804,5.5,28,0.07,0
